#,apiName,apiMethod,apiPath,apiInputsFile,toBeValidated,Module,fileType,payloadJSON,expectedJSON,consentPerson,scenario,mysql
61,Validate_RCF_ActivationLoan_Two,NA,NA,Validate_RCF_ActivationLoan_Two.csv,n,Lifecycle,json,Validate_RCF_ActivationLoan_Two.json,Validate_RCF_ActivationLoan_Two.json,Naveen,y,n
62,Validate_RCF_ActivationLoan_Three,NA,NA,Validate_RCF_ActivationLoan_Three.csv,n,Lifecycle,json,Validate_RCF_ActivationLoan_Three.json,Validate_RCF_ActivationLoan_Three.json,Naveen,y,n
63,Validate_RCF_ActivationLoan_Four,NA,NA,Validate_RCF_ActivationLoan_Four.csv,n,Lifecycle,json,Validate_RCF_ActivationLoan_Four.json,Validate_RCF_ActivationLoan_Four.json,Naveen,y,n
64,Validate_RCF_ActivationLoan_Five,NA,NA,Validate_RCF_ActivationLoan_Five.csv,n,Lifecycle,json,Validate_RCF_ActivationLoan_Five.json,Validate_RCF_ActivationLoan_Five.json,Naveen,y,n
65,Validate_RCF_ActivationLoan_Six,NA,NA,Validate_RCF_ActivationLoan_Six.csv,n,Lifecycle,json,Validate_RCF_ActivationLoan_Six.json,Validate_RCF_ActivationLoan_Six.json,Naveen,y,n
66,Validate_RCF_ActivationLoan_Seven,NA,NA,Validate_RCF_ActivationLoan_Seven.csv,n,Lifecycle,json,Validate_RCF_ActivationLoan_Seven.json,Validate_RCF_ActivationLoan_Seven.json,Naveen,y,n
67,Validate_RCF_ActivationLoan_Eight,NA,NA,Validate_RCF_ActivationLoan_Eight.csv,n,Lifecycle,json,Validate_RCF_ActivationLoan_Eight.json,Validate_RCF_ActivationLoan_Eight.json,Naveen,y,n
68,Validate_RCF_ActivationLoan_Nine,NA,NA,Validate_RCF_ActivationLoan_Nine.csv,n,Lifecycle,json,Validate_RCF_ActivationLoan_Nine.json,Validate_RCF_ActivationLoan_Nine.json,Naveen,y,n
69,Validate_RCF_ActivationLoan_Ten,NA,NA,Validate_RCF_ActivationLoan_Ten.csv,n,Lifecycle,json,Validate_RCF_ActivationLoan_Ten.json,Validate_RCF_ActivationLoan_Ten.json,Naveen,y,n
70,Validate_RCF_PostActivationValidation_One,NA,NA,Validate_RCF_PostActivationValidation_One.csv,n,Lifecycle,json,Validate_RCF_PostActivationValidation_One.json,Validate_RCF_PostActivationValidation_One.json,Naveen,y,n
71,Validate_RCF_PostActivationValidation_Two,NA,NA,Validate_RCF_PostActivationValidation_Two.csv,n,Lifecycle,json,Validate_RCF_PostActivationValidation_Two.json,Validate_RCF_PostActivationValidation_Two.json,Naveen,y,n
72,Validate_RCF_PostActivationValidation_Three,NA,NA,Validate_RCF_PostActivationValidation_Three.csv,n,Lifecycle,json,Validate_RCF_PostActivationValidation_Three.json,Validate_RCF_PostActivationValidation_Three.json,Naveen,y,n
73,Validate_RCF_PostActivationValidation_Four,NA,NA,Validate_RCF_PostActivationValidation_Four.csv,n,Lifecycle,json,Validate_RCF_PostActivationValidation_Four.json,Validate_RCF_PostActivationValidation_Four.json,Naveen,y,n
74,Validate_RCF_PostActivationValidation_Five,NA,NA,Validate_RCF_PostActivationValidation_Five.csv,n,Lifecycle,json,Validate_RCF_PostActivationValidation_Five.json,Validate_RCF_PostActivationValidation_Five.json,Naveen,y,n
75,Validate_RCF_PostActivationValidation_Six,NA,NA,Validate_RCF_PostActivationValidation_Six.csv,n,Lifecycle,json,Validate_RCF_PostActivationValidation_Six.json,Validate_RCF_PostActivationValidation_Six.json,Naveen,y,n
76,Validate_RCF_PostActivationValidation_Seven,NA,NA,Validate_RCF_PostActivationValidation_Seven.csv,n,Lifecycle,json,Validate_RCF_PostActivationValidation_Seven.json,Validate_RCF_PostActivationValidation_Seven.json,Naveen,y,n
77,Validate_RCF_PostActivationValidation_Eight,NA,NA,Validate_RCF_PostActivationValidation_Eight.csv,n,Lifecycle,json,Validate_RCF_PostActivationValidation_Eight.json,Validate_RCF_PostActivationValidation_Eight.json,Naveen,y,n
78,Validate_RCF_PostActivationValidation_Nine,NA,NA,Validate_RCF_PostActivationValidation_Nine.csv,n,Lifecycle,json,Validate_RCF_PostActivationValidation_Nine.json,Validate_RCF_PostActivationValidation_Nine.json,Naveen,y,n
